,GPD
0,5313.505372874966
1,4639.01810091909
2,4993.4018342952695
3,4635.793558678964
4,4542.466122973734
5,4678.778562348627
6,4971.21704744799
7,5347.754835618581
8,4624.840898234452
9,4992.180836640778
10,4975.132087119219
11,4980.706297576595
12,5002.6071301613965
13,4977.673479877021
14,4655.322527486168
15,4989.999561578993
16,4964.819173901693
17,4772.5391945856145
18,4964.355664884888
19,4699.040480455698
20,4961.111600485051
21,5055.100626068475
22,4980.750626889614
23,4958.7320646262115
24,4561.359176751872
25,4636.901023513985
26,4995.208303146102
27,4652.229510362984
28,4746.8518680012285
29,5283.496089335751
30,5055.100626068475
31,5347.754835618581
32,4993.4018342952695
33,5003.003320038128
34,4961.663588659196
35,4746.8518680012285
36,4657.238334686942
37,5418.907984417295
38,4718.722298662365
39,5002.671310099491
40,5055.100626068475
41,5070.827940496471
42,4542.466122973734
43,5567.009128375146
44,5282.068633839797
45,4954.35527298343
46,5283.987910735144
47,5070.304669135161
48,4993.4018342952695
49,5120.471538166349
50,5063.541099040731
51,4740.600770138882
52,4978.60329810728
53,4561.359176751872
54,4949.674286197535
55,4678.778562348627
56,5870.655783147154
57,5212.618336947461
58,5870.655783147154
59,4624.840898234452
60,4967.476985146555
61,4639.01810091909
62,4627.862280860949
63,5231.796299696361
64,4975.040322592984
65,5054.244898506575
66,5319.550851129233
67,5196.710866697498
68,4630.574673660179
69,5119.151757363693
70,4626.515269043309
71,4629.523962911969
72,4627.06177402346
73,5120.872180504483
74,5257.20127478036
75,4794.389722448976
76,4634.664156934352
77,5325.968793034178
78,4982.135774023573
79,5173.252406438276
80,5024.26732597097
81,4754.9355967040665
82,5036.374971406813
83,4973.981365063692
84,4961.46617265536
85,4993.173158102339
86,5431.86471937021
87,5325.968793034178
88,4976.468105509095
89,5003.003320038128
90,4988.855547659186
91,4999.5003691394995
92,4986.690484597923
93,4698.307525555272
94,5069.464370430518
95,4630.040932331649
96,4955.095728203496
97,4960.265872208871
98,4655.322527486168
99,4651.086798397016
100,4954.400774256462
101,4990.4629937021355
102,4772.5391945856145
103,4622.447938712614
104,5070.304669135161
105,5023.802241821148
106,5214.098619997563
107,5055.626861492306
108,5105.813826547515
109,4981.028864969237
110,5142.456516224248
111,5313.505372874966
112,4725.103208136213
113,4976.468105509095
114,5172.013609762782
115,4808.79121979416
116,4635.562740607978
117,4955.095728203496
118,5119.184982018534
119,5119.151757363693
120,4773.9776498666715
121,5300.4882051979375
122,5085.708056422099
123,5164.330139886434
124,5429.546636403802
125,5164.330139886434
126,4979.572163932534
127,4657.238334686942
128,5055.100626068475
129,5322.289191625085
130,4961.663790660999
131,5047.261509681767
132,4639.01810091909
133,5054.244898506575
134,5034.89865893253
135,4841.415950108079
136,4977.673479877021
137,4971.21704744799
138,4961.7944048481395
139,4780.68369217066
140,5070.304669135161
141,4984.168119956824
142,4982.135774023573
143,4780.68369217066
144,5346.554356888146
145,4658.6808651134625
146,5047.261509681767
147,4961.228355538466
148,4978.106295509004
149,4625.320202431659
150,4992.180836640778
151,5257.20127478036
152,5119.151757363693
153,4975.132087119219
154,4671.408124159644
155,5419.067146625009
156,4958.803900410597
157,4671.570249854785
158,4980.706297576595
159,4964.132172297121
160,4964.854598335681
161,5172.013609762782
162,4980.745081062513
163,5472.8222908738235
164,4990.093841817982
165,4641.973337239817
166,5007.147600412349
167,4985.736852625609
168,4980.439957729964
169,5083.209561770771
170,4943.662692951474
171,4615.306918747351
172,5070.827940496471
173,4671.570249854785
174,4780.68369217066
175,4641.429834639483
176,5190.158934567732
177,5069.464370430518
178,5567.009128375146
179,4984.413474458091
180,4794.389722448976
181,5319.727067952845
182,5089.500421841046
183,5885.0998759539125
184,4754.9355967040665
185,4976.468105509095
186,4973.577171094556
187,5047.318162585831
188,4881.798228850926
189,4655.322527486168
190,4982.135774023573
191,5054.244898506575
192,5509.505737810322
193,4978.19973721134
194,5076.039218770354
195,4603.273790983668
196,4658.6808651134625
197,4961.111600485051
198,5692.443848825165
199,4964.819173901693
200,4990.8091557289345
201,4629.971711441962
202,4967.071976610067
203,5440.065900015047
204,5509.505737810322
205,4561.359176751872
206,4627.240700443036
207,4978.106295509004
208,4685.380008132361
209,4997.389442954339
210,5063.541099040731
211,4993.173158102339
212,4697.468600840772
213,5104.732130674179
214,4689.654373767263
215,4820.6631460602675
216,4966.652575777245
217,5024.26732597097
218,4991.170041074797
219,4962.15022437092
220,5089.500421841046
221,5283.496089335751
222,4964.854598335681
223,4984.413474458091
224,5319.550851129233
225,4983.352160016221
226,4628.601190572038
227,4982.829290961555
228,4992.180836640778
229,4764.874793116392
230,4644.799702947469
231,4652.229510362984
232,4634.664156934352
233,4993.15235548194
234,4982.4318850442505
235,4741.092530700923
236,4954.400774256462
237,5069.464370430518
238,4662.9767659313275
239,4718.722298662365
240,5435.740956223752
241,4975.132087119219
242,4950.535671238975
243,5076.039218770354
244,4975.040322592984
245,4971.317633553739
246,4980.750626889614
247,4993.15235548194
248,4977.546504729689
249,5041.052366817721
250,4641.429834639483
251,5300.4882051979375
252,4961.111600485051
253,4990.093841817982
254,5295.945875705194
255,4967.476985146555
256,4913.42825557147
257,5018.777676355668
258,4989.211471596684
259,4713.415014693681
260,4983.278156243808
261,5367.448590032872
262,4968.102575832729
263,5300.557980699157
264,5105.813826547515
265,4981.028864969237
266,5120.872180504483
267,4979.134865049162
268,4968.102575832729
269,4984.147833177371
270,4624.820238871824
271,5070.304669135161
272,5231.294694074404
273,5050.994146298585
274,5069.848961513642
275,4958.803900410597
276,4627.06177402346
277,4990.383147877961
278,5300.557980699157
279,4622.447938712614
280,4576.393749261453
281,4968.102575832729
282,5047.261509681767
283,4634.71209686187
284,5319.727067952845
285,4964.355664884888
286,5164.330139886434
287,4969.782691467903
288,5122.2843170604665
289,5692.443848825165
290,4777.252740541072
291,4953.57590557779
292,4980.745081062513
293,4542.466122973734
294,4989.999561578993
295,5036.374971406813
296,4985.736852625609
297,4979.134865049162
298,4967.071976610067
299,5007.147600412349
300,5050.994146298585
301,4630.040932331649
302,5196.710866697498
303,4671.408124159644
304,4738.298989662534
305,4633.287702876874
306,5071.7935404995915
307,5887.851751850715
308,4658.6808651134625
309,5109.321780215845
310,4879.525966578597
311,4879.525966578597
312,4972.788831557213
313,5036.374971406813
314,4971.21704744799
315,5870.655783147154
316,4769.2251984149525
317,5676.9529703836315
318,5431.86471937021
319,5105.813826547515
320,5069.848961513642
321,4634.71209686187
322,4861.19746841846
323,4978.19973721134
324,4969.782691467903
325,4685.380008132361
326,4984.354821108822
327,5257.20127478036
328,5002.6071301613965
329,4954.35527298343
330,5020.589182549778
331,5440.065900015047
332,5419.067146625009
333,5070.304669135161
334,4698.745596383518
335,4993.173158102339
336,5119.184982018534
337,4699.040480455698
338,4954.35527298343
339,5047.318162585831
340,4984.168119956824
341,4633.287702876874
342,4983.352160016221
343,4991.170041074797
344,5109.321780215845
345,4627.06177402346
346,4725.103208136213
347,4997.389442954339
348,4993.15235548194
349,4662.9767659313275
350,4964.132172297121
351,4671.408124159644
352,5295.945875705194
353,4980.745081062513
354,4777.252740541072
355,4958.803900410597
356,4973.855820464539
357,4626.515269043309
358,5002.6071301613965
359,4950.535671238975
360,5885.0998759539125
361,4640.199610250063
362,5104.732130674179
363,4984.147833177371
364,4741.092530700923
365,4964.819173901693
366,4624.840898234452
367,4576.393749261453
368,4973.577171094556
369,4624.820238871824
370,5418.907984417295
371,5190.158934567732
372,5172.013609762782
373,4988.855547659186
374,4641.973337239817
375,4943.662692951474
376,5300.4882051979375
377,4980.439957729964
378,5231.294694074404
379,5258.822315061523
380,5435.740956223752
381,4981.31263548532
382,4982.4318850442505
383,4698.372918792372
384,4981.028864969237
385,4994.5497735539675
386,4697.468600840772
387,4971.21704744799
388,4738.298989662534
389,4671.570249854785
390,5193.021702104304
391,4986.273712953506
392,5070.304669135161
393,4982.829290961555
394,5050.994146298585
395,4972.788831557213
396,5435.740956223752
397,5085.708056422099
398,5047.318162585831
399,4961.663588659196
400,5887.851751850715
401,4960.265872208871
402,5676.9529703836315
403,5023.802241821148
404,4984.147833177371
405,5472.8222908738235
406,4861.19746841846
407,4628.601190572038
408,4990.4629937021355
409,4783.116661821996
410,4997.389442954339
411,4769.2251984149525
412,4629.971711441962
413,4986.6176323872305
414,5050.346732739975
415,4627.862280860949
416,4985.736852625609
417,5193.021702104304
418,4820.6631460602675
