real,AL,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK
AL,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,0.0,869.0,0.0,0.0,4.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,0.0
BE,0.0,0.0,593.0,2.0,2.0,1.0,46.0,1.0,0.0,0.0,11.0,8.0,6.0,0.0,1.0,3.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,19.0,0.0,14.0,2.0,0.0,1.0,11.0,0.0,1.0,0.0,24.0
BG,0.0,0.0,0.0,970.0,0.0,0.0,9.0,0.0,0.0,8.0,14.0,2.0,0.0,2.0,12.0,1.0,10.0,6.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,10.0,7.0,20.0,10.0,11.0,0.0,5.0,10.0,5.0
CH,1.0,13.0,1.0,0.0,388.0,3.0,22.0,0.0,2.0,0.0,3.0,1.0,11.0,0.0,1.0,0.0,28.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,12.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,1.0
CZ,0.0,17.0,5.0,1.0,4.0,566.0,69.0,1.0,1.0,0.0,18.0,4.0,2.0,2.0,16.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,104.0,3.0,0.0,14.0,18.0,2.0,14.0,0.0,11.0
DE,1.0,8.0,21.0,4.0,29.0,51.0,2974.0,16.0,2.0,0.0,38.0,11.0,5.0,4.0,12.0,5.0,35.0,6.0,1.0,4.0,0.0,0.0,0.0,32.0,0.0,102.0,8.0,1.0,1.0,17.0,3.0,6.0,0.0,30.0
DK,0.0,0.0,8.0,1.0,1.0,3.0,78.0,302.0,2.0,0.0,14.0,12.0,0.0,2.0,2.0,2.0,8.0,10.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,30.0,2.0,0.0,3.0,38.0,0.0,3.0,0.0,24.0
EE,0.0,0.0,0.0,0.0,3.0,5.0,7.0,1.0,298.0,0.0,14.0,22.0,0.0,2.0,3.0,0.0,5.0,15.0,0.0,29.0,2.0,0.0,0.0,0.0,0.0,34.0,2.0,1.0,4.0,40.0,2.0,3.0,0.0,7.0
EL,9.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,967.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,0.0,22.0,2.0,1.0,0.0,0.0,23.0,0.0
ES,2.0,1.0,15.0,41.0,10.0,14.0,92.0,9.0,8.0,0.0,3725.0,41.0,22.0,6.0,10.0,1.0,68.0,13.0,0.0,6.0,5.0,0.0,0.0,5.0,0.0,110.0,200.0,2.0,38.0,90.0,1.0,7.0,6.0,65.0
FI,0.0,0.0,3.0,6.0,6.0,14.0,54.0,4.0,23.0,0.0,36.0,1594.0,0.0,9.0,9.0,5.0,25.0,19.0,0.0,23.0,0.0,0.0,1.0,4.0,1.0,95.0,12.0,1.0,16.0,147.0,3.0,4.0,0.0,35.0
FR,9.0,10.0,73.0,1.0,19.0,0.0,63.0,0.0,0.0,7.0,8.0,0.0,5427.0,0.0,1.0,0.0,10.0,1.0,8.0,1.0,0.0,2.0,0.0,0.0,73.0,1.0,0.0,37.0,1.0,1.0,0.0,0.0,4.0,1.0
