,0,1,FID
0,Bulgaria,85800.68,
1,Hrvatska,67989.5,
2,Kýpros,27777,
3,Malta,17450.2,MT
3,Malta,17450.2,MT0
3,Malta,17450.2,MT00
3,Malta,17450.2,MT001
4,România,284173.63,
5,Crna Gora,5924.02,
6,Severna Makedonija,12897.79,
7,Serbia,60426.54,
8,Severozapaden,5743.09,
9,Severen tsentralen,6179.79,
10,Severoiztochen,8522.38,
11,Yugoiztochen,11323.72,
12,Yugozapaden,41959.95,
13,Yuzhen tsentralen,12071.76,
14,"Anatoliki Makedonia, Thraki",8116.83,
15,Panonska Hrvatska,12273.88,HR02
16,Jadranska Hrvatska,21604.31,HR03
17,Grad Zagreb,23122.66,HR050
17,Grad Zagreb,23122.66,HR05
18,Sjeverna Hrvatska,10988.64,HR06
19,"Hatay, Kahramanmaraş, Osmaniye",22844.61,TR63
20,Kýpros,27777,
21,Malta,17428.54,MT
21,Malta,17428.54,MT0
21,Malta,17428.54,MT00
21,Malta,17428.54,MT001
22,Extra-Regio NUTS 2,21.66,
23,Nord-Vest,34951.98,RO11
24,Centru,32059.77,RO12
25,Nord-Est,29504.31,ITH
25,Nord-Est,29504.31,RO21
26,Sud-Est,28129.55,RO22
27,Sud-Muntenia,32038.41,RO31
28,Bucureşti-Ilfov,80393.66,RO32
29,Sud-Vest Oltenia,21099.21,RO41
30,Vest,25845.5,RO42
31,Extra-Regio NUTS 2,151.23,
32,Crna Gora,5924.02,
33,Severna Makedonija,12897.79,
34,Beogradski region,24177.11,
35,Region Vojvodine,15932.11,
36,Region Sumadije i Zapadne Srbije,11120.9,
37,Region Juzne i Istocne Srbije,9172.23,
38,Extra-Regio level 2,24.19,
