,region,total gpd,capita,per capita
0,Bulgaria,85800.68,"6,877.74",12475.127
1,Hrvatska,67989.5,"3,957.72",17178.95657
2,Kýpros,27777,900.35,30851.33559
3,Malta,17450.2,518.68,33643.4796
4,România,284173.63,"19,126.30",14857.74196
5,Crna Gora,5924.02,619.21,9567.061255
6,Severna Makedonija,12897.79,"1,837.11",7020.695549
7,Serbia,60426.54,"6,834.33",8841.61871
8,Severozapaden,5743.09,676.77,8486.029227
9,Severen tsentralen,6179.79,690.65,8947.788315
10,Severoiztochen,8522.38,825.76,10320.65007
11,Yugoiztochen,11323.72,951.03,11906.79579
12,Yugozapaden,41959.95,2017.53,20797.68331
13,Yuzhen tsentralen,12071.76,1303.36,9262.030444
14,"Anatoliki Makedonia, Thraki",8116.83,588.84,13784.4406
15,Panonska Hrvatska,12273.88,1113.73,11020.51664
16,Jadranska Hrvatska,21604.31,1289.58,16752.98159
17,Grad Zagreb,23122.66,724.12,31932.08308
18,Sjeverna Hrvatska,10988.64,780.39,14080.95952
19,"Hatay, Kahramanmaraş, Osmaniye",22844.61,3408.96,6701.342932
20,Kýpros,27777,900.35,30851.33559
23,Nord-Vest,34951.98,"2,530.88",13810.20831
24,Centru,32059.77,"2,288.70",14007.85162
25,Nord-Est,29504.31,"3,193.25",9239.586628
26,Sud-Est,28129.55,"2,357.25",11933.20607
27,Sud-Muntenia,32038.41,"2,862.64",11191.91026
28,Bucureşti-Ilfov,80393.66,"2,297.82",34986.92674
29,Sud-Vest Oltenia,21099.21,"1,881.34",11214.99038
30,Vest,25845.5,"1,714.44",15075.1849
32,Crna Gora,5924.02,619.21,9567.061255
33,Severna Makedonija,12897.79,"1,837.11",7020.695549
34,City of Belgrade,24177.11,"1,688.67",14317.24967
35,Autonomous Province of Vojvodina,15932.11,"1,825.98",8725.237954
36,Region Šumadije i Zapadne Srbije,11120.9,"1,867.55",5954.8071
37,Region Južne i Istočne Srbije,9172.23,"1,452.13",6316.397292
38,Liechtenstein,,,"187,267.10"
39,Albania,15157.38,2811.67,5390.881576
40,Shqipëria,15157.38,2811.67,5390.881576
41,Veri,3390.4,790.96,4286.436735
42,Qender,7646.74,1178.53,6488.371106
43,Jug,4120.24,842.18,4892.350804
44,Türkiye,862309.64,84980,10147.20687
45,İstanbul,262182.35,15874.44,16516.00623
46,Batı Marmara,40878.14,15874.44,2575.091783
47,Ege,111570.64,3721.63,29978.97158
48,Doğu Marmara,102900.87,1909.2,53897.37586
49,Batı Anadolu,97139.17,10835.74,8964.701073
50,Akdeniz,92734.52,4443.93,20867.68243
51,Orta Anadolu,30857.2,3229.5,9554.791763
52,Batı Karadeniz,30798.61,3162.31,9739.276036
53,Doğu Karadeniz,15188.58,8446.15,1798.284425
54,Kuzeydoğu Anadolu,10948.52,4302.27,2544.824012
55,Ortadoğu Anadolu,17681.75,4143.88,4266.955124
56,Güneydoğu Anadolu,49429.29,8311.33,5947.217834
57,İstanbul,262182.35,5764.81,45479.79031
58,"Tekirdağ, Edirne, Kırklareli",24187.92,2546.52,9498.421375
59,"Balıkesir, Çanakkale",16690.22,10954.67,1523.571226
60,İzmir,55847.49,3373.18,16556.3326
61,"Aydın, Denizli, Muğla",28808.1,4172.53,6904.22837
62,"Manisa, Afyonkarahisar, Kütahya, Uşak",26915.06,3408.96,7895.38745
63,"Bursa, Eskişehir, Bilecik",47209.61,4116.82,11467.49433
64,"Kocaeli, Sakarya, Düzce, Bolu, Yalova",55691.25,1624.88,34274.06947
65,Ankara,76387.2,2491.94,30653.70755
66,"Konya, Karaman",20751.97,4666.3,4447.200137
67,"Antalya, Isparta, Burdur",34388.44,1042.3,32992.84275
68,"Adana, Mersin",35501.47,792.6,44791.15569
69,"Hatay, Kahramanmaraş, Osmaniye",22844.61,2831.4,8068.308964
70,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir",12277.91,2691.54,4561.667298
71,"Kayseri, Sivas, Yozgat",18579.29,2691.54,6902.84744
72,"Zonguldak, Karabük, Bartın",8287.2,2168.93,3820.870199
73,"Samsun, Tokat, Çorum, Amasya",16857.62,1076.25,15663.29384
74,"Kastamonu, Çankırı, Sinop",5653.8,1092.67,5174.297821
75,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",15188.58,3934.28,3860.574235
76,"Erzurum, Erzincan, Bayburt",6379.62,1767.27,3609.872855
77,"Ağrı, Kars, Iğdır, Ardahan",4568.9,2167.01,2108.388978
78,"Malatya, Elazığ, Bingöl, Tunceli",9751.77,9258.19,1053.312797
79,"Van, Muş, Bitlis, Hakkari",7929.98,2922.78,2713.163495
80,"Gaziantep, Adıyaman, Kilis",21676.41,3954.7,5481.176828
81,"Şanlıurfa, Diyarbakır",15377.97,2380.72,6459.377835
82,"Mardin, Batman, Şırnak, Siirt",12374.91,1812.43,6827.800246
